codigo,descripcion,categoria,precioPublico,costo,stock
905001,CAMPERA BELOW ZERO,ABRIGOS,"$199.990,00","$10.490,00",0
845017,CAMPERA CORDERITO,ABRIGOS,"$99.990,00","$12.565,00",0
675004,CAMPERA CORDERITO,ABRIGOS,"$139.990,00","$12.565,00",0
845005,CHALECO CON VIVOS,ABRIGOS,"$159.990,00","$56.000,00",0
845230,CHALECO NYLON,ABRIGOS,"$159.990,00","$56.000,00",-1
845223,CHALECO SAINT PAUL,ABRIGOS,"$159.990,00","$56.000,00",1
845415,CHALECO COLUMBUS,ABRIGOS,"$159.990,00","$56.085,00",-1
845810,CAMPERA PUFFER SELLERS,ABRIGOS,"$198.990,00","$59.288,00",5
905603,CHALECO AUSTIN,ABRIGOS,"$159.990,00","$60.434,00",1
905602,CAMPERA AUSTIN,ABRIGOS,"$199.990,00","$64.782,00",-2
905804,CHALECO PUFFER BOONE,ABRIGOS,"$159.990,00","$64.782,00",1
845012,PARKA GABARDINA,ABRIGOS,"$169.990,00","$73.908,70",0
845222,CAMPERA ATLANTA,ABRIGOS,"$199.990,00","$74.990,00",1
285401,CAMPERA AUSTIN,ABRIGOS,"$199.990,00","$74.990,00",2
425402,CAMPERA BEVERLY,ABRIGOS,"$199.990,00","$74.990,00",1
905002,CAMPERA BLACK ICE,ABRIGOS,"$199.990,00","$74.990,00",1
425401,CAMPERA VEGAS,ABRIGOS,"$250.000,00","$74.990,00",1
845417,CHALECO DETROIT,ABRIGOS,"$159.990,00","$74.990,00",1
845414,CHALECO VIRGINIA,ABRIGOS,"$159.990,00","$74.990,00",0
425203,PARKA MALIBU,ABRIGOS,"$220.000,00","$74.990,00",0
845220,PARKA PORTLAND,ABRIGOS,"$169.990,00","$74.990,00",2
905601,CAMPERA BELOW ZERO,ABRIGOS,"$220.000,00","$82.173,00",-1
905806,CAMPERA PUFFER PECK,ABRIGOS,"$198.990,00","$86.086,00",5
905202,CAMPERA BLACK ICE,ABRIGOS,"$199.990,00","$86.952,17",0
905801,CAMPERA PUFFER CHOMB HACKMAN,ABRIGOS,"$218.990,00","$95.217,00",1
845808,TAPADO CITIZEN,ABRIGOS,"$297.990,00",##########,0
234905,BOXER,ACCESORIOS,"$19.990,00","$8.652,00",2
405702,BOXER CROSS,ACCESORIOS,"$19.990,00","$8.652,00",1
405703,BOXER LEAVES,ACCESORIOS,"$19.990,00","$8.652,00",3
590001,BOXER LISO,ACCESORIOS,"$19.990,00","$8.652,00",10
405701,BOXER LISO,ACCESORIOS,"$19.990,00","$8.652,00",7
405801,BOXER LISO,ACCESORIOS,"$19.990,00","$8.652,00",5
405101,BOXER LISO,ACCESORIOS,"$19.990,00","$8.652,00",3
405501,BOXER LISO,ACCESORIOS,"$19.990,00","$8.652,00",0
595405,BOXER LISO,ACCESORIOS,"$19.990,00","$8.652,00",-3
595405,BOXER LISO,ACCESORIOS,"$19.990,00","$8.652,00",-3
400001,BOXER LISO,ACCESORIOS,"$19.990,00","$8.652,00",-4
405503,BOXER LUNARES,ACCESORIOS,"$19.990,00","$8.652,00",0
400002,BOXER RAYADO,ACCESORIOS,"$19.990,00","$8.652,00",10
370002,BOXER RAYADO,ACCESORIOS,"$19.990,00","$8.652,00",5
570002,BOXER RAYADO,ACCESORIOS,"$19.990,00","$8.652,00",0
405804,BOXER RAYADO,ACCESORIOS,"$19.990,00","$8.652,00",0
405102,BOXER RAYADO,ACCESORIOS,"$19.990,00","$8.652,00",-3
595406,BOXER RAYAS,ACCESORIOS,"$19.990,00","$8.652,00",7
405502,BOXER RAYO,ACCESORIOS,"$19.990,00","$8.652,00",0
855801,SOQUETE PACK 2,ACCESORIOS,"$19.990,00","$8.652,00",7
915801,BUFANDA CHALTEN,ACCESORIOS,"$21.990,00","$9.521,00",1
525102,SOQUETE BASIC PACK,ACCESORIOS,"$21.990,00","$9.521,00",2
